FOREST AREA,,,,,,,,,,,
"Macedonia,The Fmr Yug Rp",1032,1047.6,1075.7,1106.7,1139.8,1173.8,1208.3,1242.7,1277.1,1311.2,1344.7
Montenegro,543,543,544,546.6,550.6,555.7,561.8,568.8,576.3,584.3,592.6
Netherlands,365,365,365.1,365.2,365.3,365.4,365.5,365.6,365.6,365.6,365.6
Norway,10618,10874.9,11170.2,11317.5,11385.2,11423.6,11444.6,11455.6,11462.4,11466.5,11468.9
Poland,9530,9616,9767.5,9925.9,10083.3,10239.7,10393.8,10544.4,10691.3,10833.6,10970.5
Portugal,3483,3493.5,3514.2,3537,3558.2,3575.7,3588.6,3597,3603.2,3607.6,3610.6
Romania,6837,6960.8,7172.1,7389.9,7614.3,7845.5,8083.7,8329.1,8582,8842.6,9111.1
Slovakia,1933,1933,1934,1936.7,1940.8,1946.7,1954.1,1962.8,1972.7,1983.5,1994.8
Slovenia,1268,1275.6,1288.4,1301.3,1314.4,1327.5,1340.5,1353.2,1365.5,1377.2,1388.3
Spain,19442,20031.1,20876.5,21496.3,21922.8,22238.6,22463.6,22617.6,22732.7,22816.8,22876.8
Sweden,28203,28203,28208.1,28214.7,28219.3,28222.6,28224.7,28225.9,28226.8,28227.4,28227.8
Switzerland,1274,1289.3,1310.7,1326.3,1337.4,1344.4,1348.7,1351.3,1352.8,1353.7,1354.2
United Kingdom,2934,2960.5,2993.7,3012.8,3022.8,3028.7,3031.9,3033.6,3034.6,3035.2,3035.6
Serbia,3067,3245.2,3549.8,3849.7,4132.2,4414.4,4692.3,4961.8,5229.7,5493.9,5752.3
Europe,1010372,1012766.5,1017849.9,1024615.4,1032898.4,1041888.1,1051540.7,1061795.8,1072595.9,1083854,1095474.9
Armenia,235,224.6,210.3,200.4,194.5,189.6,185.6,182.4,179.7,177.4,175.5
"Azerbaijan, Republic of",936,936,938,943.5,952.4,962,972.3,983.3,995.5,1008.9,1023.5
Belarus,8914,9048.4,9284.2,9537.5,9807.7,10088.8,10380.9,10684.1,10998.6,11324.2,11660.6
